grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int,on_Lambda_fiber,Lambda_fiber_deviation_deg,on_Gamma_fiber,Gamma_fiber_deviation_deg,on_Eta_fiber,Eta_fiber_deviation_deg,on_Alpha_fiber,Alpha_fiber_deviation_deg
104,68.882,48.733,308.11,4426.4,31.345,3213.0,63.96,(642772),[-15-1018],Other/Random,28.32,"64,27,72","-15,-10,18",False,45.48,False,19.61,False,45.05,False,23.4
105,54.654,58.369,322.74,4468.9,9.077,1053.0,36.62,(1-11),[-15-1421],Other/Random,42.67,"1,-1,1","-15,-14,21",False,46.01,True,8.83,False,43.99,False,29.17
106,325.562,25.249,25.39,4505.1,2.4,90.0,10.7,(-8-5-20),[-15-1],Other/Random,26.8,"-8,-5,-20","-1,5,-1",False,25.25,False,30.17,False,15.34,False,35.21
107,118.992,44.426,223.98,4540.63,18.922,1845.0,48.47,(12714),[8-4-5],Other/Random,32.25,"12,7,14","8,-4,-5",False,44.43,False,15.91,False,38.51,False,26.23
108,53.177,52.266,316.34,4613.97,17.627,3618.0,67.87,(1-11),[-5-37],Other/Random,35.4,"1,-1,1","-5,-3,7",False,50.72,True,7.02,False,39.48,False,21.28
109,153.015,37.699,231.33,4664.25,1.875,72.0,9.57,(-2-1-3),[-7-2112],Other/Random,36.19,"-2,-1,-3","-7,-21,12",False,37.7,False,21.31,False,33.16,False,21.64
110,147.955,48.51,224.75,4679.35,5.27,333.0,20.59,(111),[10-1],Other/Random,32.37,"1,1,1","1,0,-1",False,48.51,True,11.89,False,31.85,True,13.21
111,155.47,50.004,216.34,4730.74,42.489,8001.0,100.93,(849),[-120],Other/Random,27.03,"8,4,9","-1,2,0",False,45.82,False,16.84,False,27.01,False,18.01
112,200.736,34.355,133.79,4781.05,12.683,1701.0,46.54,(528),[-3-84],Other/Random,34.42,"5,2,8","-3,-8,4",False,34.35,False,26.27,False,30.89,False,26.51
113,165.201,43.687,223.72,4888.89,60.102,17770.0,150.4,(-32-9-36),[-21-5632],Other/Random,34.66,"-32,-9,-36","-21,-56,32",False,43.69,False,25.19,False,34.27,False,22.79
114,157.569,21.993,222.25,4979.75,22.846,3042.0,62.23,(-21-8-56),[-7-216],Other/Random,29.52,"-21,-8,-56","-7,-21,6",False,21.99,False,35.15,False,22.77,False,30.71
115,195.469,5.854,179.33,5055.59,26.614,5247.0,81.74,(001),[100],Other/Random,15.91,"0,0,1","1,0,0",True,5.85,False,49.7,True,14.8,False,30.2
116,345.158,44.761,42.36,5151.82,42.811,7290.0,96.34,(-4-1-4),[721-12],Other/Random,33.45,"-4,-1,-4","7,21,-12",False,44.76,False,24.9,False,33.19,False,22.0
117,3.685,32.862,326.06,5155.0,4.3,270.0,18.54,(508),[36-2],Other/Random,33.37,"5,0,8","3,6,-2",False,32.86,False,35.14,False,30.9,False,25.85
118,123.856,43.834,243.72,5197.66,11.821,1512.0,43.88,(111),[10-1],Other/Random,23.61,"1,1,1","1,0,-1",False,43.83,True,13.76,False,38.39,True,6.62
